participantNo,task,condition,forCond,mode,block,trialNo,missCount,dockingTime,wrongModeCount,posMissCount,prevMode
10,task,"mouse,touch",,touch,4,8,0,710,0,0,mouse
10,task,"mouse,touch",,mouse,4,9,0,995,0,0,touch
10,task,"mouse,touch",,touch,4,10,0,369,0,0,mouse
10,task,"mouse,touch",,mouse,4,11,0,1211,0,0,touch
10,task,"mouse,touch",,touch,4,12,0,714,0,0,mouse
10,task,"mouse,touch",,mouse,4,13,1,1240,1,0,touch
10,task,"mouse,touch",,touch,4,14,0,968,0,0,mouse
10,task,"mouse,trackpad",,mouse,1,1,0,1408,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,1,2,0,2458,0,0,mouse
10,task,"mouse,trackpad",,mouse,1,3,0,1857,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,1,4,0,1624,0,0,mouse
10,task,"mouse,trackpad",,mouse,1,5,0,1947,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,1,6,0,2028,0,0,mouse
10,task,"mouse,trackpad",,mouse,1,7,0,1872,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,1,8,0,1992,0,0,mouse
10,task,"mouse,trackpad",,mouse,1,9,0,1269,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,1,10,1,1313,0,1,mouse
10,task,"mouse,trackpad",,mouse,1,11,0,1241,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,1,12,0,1489,0,0,mouse
10,task,"mouse,trackpad",,mouse,1,13,0,1751,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,1,14,0,1418,0,0,mouse
10,task,"mouse,trackpad",,mouse,2,1,0,1418,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,2,2,0,2095,0,0,mouse
10,task,"mouse,trackpad",,mouse,2,3,0,1451,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,2,4,0,1303,0,0,mouse
10,task,"mouse,trackpad",,mouse,2,5,0,1284,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,2,6,0,2018,0,0,mouse
10,task,"mouse,trackpad",,mouse,2,7,0,1372,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,2,8,0,1928,0,0,mouse
10,task,"mouse,trackpad",,mouse,2,9,0,1163,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,2,10,0,1237,0,0,mouse
10,task,"mouse,trackpad",,mouse,2,11,0,1778,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,2,12,1,1855,0,1,mouse
10,task,"mouse,trackpad",,mouse,2,13,0,1467,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,2,14,0,2012,0,0,mouse
10,task,"mouse,trackpad",,mouse,3,1,0,655,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,3,2,0,1864,0,0,mouse
10,task,"mouse,trackpad",,mouse,3,3,0,1662,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,3,4,1,2123,0,1,mouse
10,task,"mouse,trackpad",,mouse,3,5,0,1013,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,3,6,0,2099,0,0,mouse
10,task,"mouse,trackpad",,mouse,3,7,0,1315,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,3,8,0,2080,0,0,mouse
10,task,"mouse,trackpad",,mouse,3,9,0,1523,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,3,10,0,1188,0,0,mouse
10,task,"mouse,trackpad",,mouse,3,11,0,1194,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,3,12,0,1911,0,0,mouse
10,task,"mouse,trackpad",,mouse,3,13,0,1194,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,3,14,0,1391,0,0,mouse
10,task,"mouse,trackpad",,mouse,4,1,0,995,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,4,2,0,1118,0,0,mouse
10,task,"mouse,trackpad",,mouse,4,3,0,1132,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,4,4,0,1119,0,0,mouse
10,task,"mouse,trackpad",,mouse,4,5,0,1585,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,4,6,0,1359,0,0,mouse
10,task,"mouse,trackpad",,mouse,4,7,0,1694,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,4,8,0,1123,0,0,mouse
10,task,"mouse,trackpad",,mouse,4,9,0,1420,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,4,10,0,984,0,0,mouse
10,task,"mouse,trackpad",,mouse,4,11,0,1147,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,4,12,0,1883,0,0,mouse
10,task,"mouse,trackpad",,mouse,4,13,0,1494,0,0,trackpad
10,task,"mouse,trackpad",,trackpad,4,14,0,1045,0,0,mouse
10,task,"pen,touch",,pen,1,1,0,699,0,0,touch
10,task,"pen,touch",,touch,1,2,0,714,0,0,pen
10,task,"pen,touch",,pen,1,3,0,557,0,0,touch
10,task,"pen,touch",,touch,1,4,0,772,0,0,pen
10,task,"pen,touch",,pen,1,5,1,734,0,1,touch
10,task,"pen,touch",,touch,1,6,0,825,0,0,pen
10,task,"pen,touch",,pen,1,7,0,634,0,0,touch
10,task,"pen,touch",,touch,1,8,0,1146,0,0,pen
10,task,"pen,touch",,pen,1,9,0,751,0,0,touch
10,task,"pen,touch",,touch,1,10,0,764,0,0,pen
10,task,"pen,touch",,pen,1,11,0,712,0,0,touch
10,task,"pen,touch",,touch,1,12,0,1038,0,0,pen
10,task,"pen,touch",,pen,1,13,0,712,0,0,touch
10,task,"pen,touch",,touch,1,14,0,738,1,0,pen
10,task,"pen,touch",,pen,2,1,0,759,0,0,touch
10,task,"pen,touch",,touch,2,2,0,831,0,0,pen
10,task,"pen,touch",,pen,2,3,0,671,0,0,touch
